

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.
              5      0.96E-03  0.25E+01  0.14E-04  0.98E+00

     Power:  0.11001E+08


                         Increment number  50
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.25E-02  0.11E+04  0.28E-03  0.95E+00
              2      0.12E-02  0.64E+02  0.23E-03  0.98E+00
              3      0.11E-02  0.89E+01  0.38E-04  0.98E+00
              4      0.10E-02  0.28E+01  0.15E-04  0.98E+00
              5      0.99E-03  0.25E+01  0.13E-04  0.98E+00

     Power:  0.11050E+08


                         Increment number  51
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.14E-02  0.58E+03  0.12E-03  0.97E+00
              2      0.12E-02  0.22E+02  0.12E-03  0.98E+00
              3      0.11E-02  0.52E+01  0.22E-04  0.98E+00
              4      0.10E-02  0.27E+01  0.15E-04  0.98E+00
              5      0.97E-03  0.25E+01  0.14E-04  0.98E+00

     Power:  0.11086E+08


                         Increment number  52
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.27E+03  0.61E-03  0.98E+00
              2      0.11E-02  0.30E+02  0.16E-04  0.98E+00
              3      0.98E-03  0.26E+01  0.16E-04  0.98E+00

     Power:  0.11115E+08


                         Increment number  53
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.14E+03  0.32E-03  0.98E+00
              2      0.10E-02  0.15E+02  0.17E-04  0.98E+00
              3      0.96E-03  0.25E+01  0.14E-04  0.98E+00

     Power:  0.11141E+08


                         Increment number  54
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.77E+02  0.18E-03  0.98E+00
              2      0.10E-02  0.82E+01  0.15E-04  0.98E+00
              3      0.95E-03  0.24E+01  0.13E-04  0.98E+00

     Power:  0.11165E+08


                         Increment number  55
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.49E+02  0.11E-03  0.98E+00
              2      0.10E-02  0.55E+01  0.14E-04  0.98E+00
              3      0.97E-03  0.24E+01  0.12E-04  0.98E+00

     Power:  0.11188E+08


                         Increment number  56
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.37E+02  0.81E-04  0.98E+00
              2      0.11E-02  0.44E+01  0.14E-04  0.98E+00
              3      0.10E-02  0.24E+01  0.12E-04  0.98E+00
              4      0.96E-03  0.23E+01  0.12E-04  0.98E+00

     Power:  0.11210E+08


                         Increment number  57
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.31E+02  0.67E-04  0.98E+00
              2      0.10E-02  0.37E+01  0.15E-04  0.98E+00
              3      0.95E-03  0.23E+01  0.13E-04  0.98E+00

     Power:  0.11231E+08


                         Increment number  58
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.26E+02  0.59E-04  0.98E+00
              2      0.96E-03  0.33E+01  0.15E-04  0.98E+00

     Power:  0.11252E+08


                         Increment number  59
